City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
camacha,40,PT,03/26/19,72,33.08,-16.33,64.4,24.16
wagar,0,US,03/26/19,60,31.44,-87.99,61.0,5.01
nikolayevka,64,RU,03/26/19,79,47.31,38.84,38.46,2.93
naze,75,NG,03/26/19,94,5.43,7.07,75.2,4.7
juneau,40,US,03/26/19,65,58.3,-134.42,50.0,2.37
bethel,1,US,03/26/19,88,60.79,-161.76,35.6,14.99
fort nelson,75,CA,03/26/19,56,58.81,-122.69,41.0,2.24
nuuk,20,GL,03/26/19,38,64.17,-51.74,24.8,8.05
morondava,0,MG,03/26/19,97,-20.3,44.28,78.69,4.16
canon city,8,US,03/26/19,19,39.46,-117.13,57.72,5.95
maloy,80,ID,03/26/19,84,1.0,118.1,77.79,2.71
wajid,44,SO,03/26/19,61,3.81,43.25,82.74,10.42
pisco,0,PE,03/26/19,30,-13.71,-76.2,71.6,9.17
saldanha,0,PT,03/26/19,29,41.42,-6.55,55.02,17.25
upernavik,32,GL,03/26/19,100,72.79,-56.15,6.15,4.94
pacific grove,90,US,03/26/19,67,36.62,-121.92,66.99,3.38
sovetskiy,80,RU,03/26/19,92,56.76,48.47,30.18,10.87
osa,24,RU,03/26/19,90,57.28,55.46,29.28,7.74
intipuca,0,SV,03/26/19,34,13.2,-88.05,96.8,6.93
vanimo,76,PG,03/26/19,100,-2.67,141.3,80.94,10.2
faya,0,SA,03/26/19,77,18.39,42.45,60.8,10.29
egvekinot,68,RU,03/26/19,85,66.32,-179.17,26.58,16.69
meulaboh,88,ID,03/26/19,100,4.14,96.13,81.21,3.15
swan hill,0,AU,03/26/19,82,-35.34,143.56,44.13,4.38
upington,0,ZA,03/26/19,26,-28.46,21.24,80.6,3.36
coquimbo,90,CL,03/26/19,82,-29.95,-71.34,59.0,10.29
salalah,75,OM,03/26/19,78,17.01,54.1,78.8,4.7
hoquiam,90,US,03/26/19,100,46.98,-123.89,57.0,3.36
qaqortoq,75,GL,03/26/19,41,60.72,-46.03,23.0,4.7
huercal-overa,12,ES,03/26/19,86,37.39,-1.95,60.01,3.0
vila velha,40,BR,03/26/19,69,-3.71,-38.6,82.4,4.7
algiers,40,US,03/26/19,43,29.94,-90.04,73.0,13.87
palauig,0,PH,03/26/19,100,15.44,119.9,70.86,4.94
hoima,0,UG,03/26/19,87,1.43,31.35,66.72,2.71
bonthe,0,SL,03/26/19,73,7.53,-12.5,82.74,6.29
margate,0,AU,03/26/19,70,-43.03,147.26,48.2,6.93
airai,76,TL,03/26/19,91,-8.93,125.41,69.06,1.7
teguldet,0,RU,03/26/19,80,57.31,88.17,15.24,3.27
general pico,0,AR,03/26/19,43,-35.66,-63.75,68.07,7.29
ambovombe,8,MG,03/26/19,96,-25.18,46.09,75.63,2.59
hamilton,20,CA,03/26/19,29,43.26,-79.87,44.01,8.05
morehead,1,US,03/26/19,15,38.18,-83.43,51.8,6.93
hovd,75,NO,03/26/19,93,63.83,10.7,43.0,20.8
mahendranagar,0,IN,03/26/19,69,28.02,81.63,57.27,3.71
kortkeros,20,RU,03/26/19,92,61.81,51.56,30.2,2.24
muriti,75,TZ,03/26/19,88,-1.99,32.93,73.4,3.94
tazovskiy,76,RU,03/26/19,88,67.47,78.7,30.81,26.87
cabo san lucas,5,MX,03/26/19,34,22.89,-109.91,86.0,4.7
jumla,0,NP,03/26/19,61,29.28,82.18,21.09,2.59
berlevag,75,NO,03/26/19,79,70.86,29.09,26.6,12.75
jalu,0,LY,03/26/19,32,29.03,21.55,58.62,7.29
kanlagay,0,PH,03/26/19,100,5.88,121.29,78.24,6.29
rumonge,8,BI,03/26/19,100,-3.97,29.44,73.47,3.83
zyryanka,56,RU,03/26/19,56,65.73,150.89,6.06,14.12
kruisfontein,36,ZA,03/26/19,86,-34.0,24.73,58.71,6.62
bandarban,0,BD,03/26/19,90,22.2,92.22,68.79,1.92
port macquarie,90,AU,03/26/19,77,-31.43,152.91,70.0,5.82
esperance,40,TT,03/26/19,55,10.24,-61.45,87.8,14.99
portland,40,US,03/26/19,54,45.52,-122.67,59.0,6.93
marzuq,0,YE,03/26/19,89,14.4,46.47,52.86,2.48
jishu,68,CN,03/26/19,49,44.29,126.79,23.07,3.6
christchurch,92,NZ,03/26/19,93,-43.53,172.64,64.99,7.96
governador valadares,0,BR,03/26/19,57,-18.85,-41.95,81.39,2.82
labytnangi,88,RU,03/26/19,92,66.66,66.39,31.71,16.58
acapulco,5,MX,03/26/19,66,16.86,-99.88,87.8,10.29
dingle,44,PH,03/26/19,91,11.0,122.67,75.36,8.75
inirida,24,CO,03/26/19,76,3.87,-67.92,84.36,2.71
fulton,1,US,03/26/19,31,43.32,-76.42,37.99,9.17
pathein,36,MM,03/26/19,92,16.78,94.73,73.56,5.73
hambantota,0,LK,03/26/19,100,6.12,81.12,80.13,9.42
tagusao,0,PH,03/26/19,97,9.19,117.81,75.0,4.61
bereda,0,ES,03/26/19,58,43.27,-7.54,55.0,5.82
saratoga springs,1,US,03/26/19,17,43.08,-73.79,45.0,16.11
dakar,0,SN,03/26/19,56,14.69,-17.45,71.6,16.11
mamallapuram,20,IN,03/26/19,78,12.63,80.17,82.4,4.7
mount isa,90,AU,03/26/19,100,-20.73,139.49,73.4,9.17
ahipara,64,NZ,03/26/19,76,-35.17,173.16,70.59,15.23
anadyr,20,RU,03/26/19,79,64.73,177.51,28.4,35.79
vanavara,44,RU,03/26/19,91,60.35,102.28,18.48,5.17
resistencia,0,AR,03/26/19,41,-27.45,-58.99,78.8,10.29
peruibe,20,BR,03/26/19,99,-24.32,-47.0,80.31,7.74
caravelas,0,BR,03/26/19,100,-17.73,-39.27,82.38,9.86
gannan,0,CN,03/26/19,48,47.92,123.49,17.22,8.19
yumen,68,CN,03/26/19,61,40.29,97.04,39.09,14.79
belyy yar,0,RU,03/26/19,92,53.6,91.39,17.6,2.24
moba,20,CD,03/26/19,95,-7.04,29.77,69.78,4.72
millinocket,1,US,03/26/19,28,45.66,-68.71,37.0,13.87
freetown,20,BS,03/26/19,65,26.61,-78.36,80.6,13.87
champerico,75,MX,03/26/19,40,16.38,-93.6,87.8,13.87
kavieng,0,PG,03/26/19,100,-2.57,150.8,83.28,7.74
yarkovo,0,RU,03/26/19,79,54.81,82.6,24.8,4.47
sabancuy,0,MX,03/26/19,91,18.97,-91.18,81.21,16.24
soe,0,EE,03/26/19,80,57.91,26.05,30.2,8.05
lysyye gory,92,RU,03/26/19,91,51.55,44.84,33.78,7.52
bubaque,0,GW,03/26/19,97,11.28,-15.83,78.96,15.35
novoagansk,88,RU,03/26/19,83,61.94,76.66,34.5,12.66
norman wells,20,CA,03/26/19,74,65.28,-126.83,35.6,10.29
namwala,8,ZM,03/26/19,59,-15.75,26.45,73.74,7.18
puerto madero,20,AR,03/26/19,60,-34.61,-58.36,71.6,14.99
maceio,40,BR,03/26/19,88,-9.67,-35.74,77.0,12.75
alekseyevsk,88,RU,03/26/19,79,57.84,108.35,16.14,3.94
bogovarovo,32,RU,03/26/19,91,58.98,47.02,31.08,5.61
noyabrsk,92,RU,03/26/19,96,63.2,75.45,33.42,18.48
voh,0,NC,03/26/19,96,-20.95,164.69,79.23,11.32
dekar,100,BW,03/26/19,28,-21.53,21.93,83.46,3.94
sakata,36,JP,03/26/19,81,38.92,139.93,41.97,19.82
namatanai,56,PG,03/26/19,100,-3.66,152.44,81.57,11.65
broome,40,GB,03/26/19,76,52.47,1.45,50.0,1.12
tambun,75,MY,03/26/19,94,4.62,101.14,80.6,2.24
sesheke,20,NA,03/26/19,39,-17.47,24.29,76.08,6.4
porto novo,20,BR,03/26/19,40,-23.68,-45.44,86.0,8.05
walvis bay,0,NA,03/26/19,82,-22.95,14.51,61.0,4.7
trelew,0,AR,03/26/19,36,-43.25,-65.31,72.3,12.44
vostok,56,RU,03/26/19,68,46.45,135.83,19.11,5.73
nouadhibou,20,MR,03/26/19,77,20.93,-17.03,68.0,12.75
watsa,20,CD,03/26/19,90,3.04,29.53,70.41,2.59
north bend,1,US,03/26/19,54,43.41,-124.22,59.0,4.7
nabari,20,JP,03/26/19,57,34.63,136.11,50.0,16.11
guerrero negro,44,MX,03/26/19,56,27.97,-114.04,71.94,10.2
husavik,0,CA,03/26/19,85,50.56,-96.99,37.0,5.01
iquique,0,CL,03/26/19,57,-20.22,-70.14,75.2,18.34
mansa,0,IN,03/26/19,31,23.43,72.66,78.8,2.71
ewo,20,CG,03/26/19,86,-0.88,14.81,75.63,2.37
batemans bay,0,AU,03/26/19,88,-35.71,150.18,52.0,3.0
iberia,36,PE,03/26/19,79,-11.41,-69.49,82.56,2.82
hartselle,1,US,03/26/19,38,34.44,-86.94,62.01,12.75
guhagar,88,IN,03/26/19,98,17.48,73.19,78.42,5.95
ndjole,12,GA,03/26/19,87,-0.18,10.76,77.52,2.71
sobolevo,20,RU,03/26/19,73,54.43,31.9,21.18,2.93
gualeguay,92,AR,03/26/19,58,-33.15,-59.31,69.24,8.97
gonaives,40,HT,03/26/19,58,19.45,-72.68,84.2,11.41
lata,0,IN,03/26/19,78,30.78,78.62,40.71,3.38
changping,0,CN,03/26/19,74,40.22,116.23,53.01,2.24
mangaldai,90,IN,03/26/19,83,26.43,92.03,71.6,3.6
basco,1,US,03/26/19,25,40.33,-91.2,52.0,8.05
rudnogorsk,80,RU,03/26/19,62,57.27,103.75,11.19,4.94
quatre cocos,40,MU,03/26/19,83,-20.21,57.76,80.6,3.36
anloga,20,GH,03/26/19,79,5.79,0.9,84.2,6.93
bosaso,0,SO,03/26/19,100,11.28,49.18,79.14,7.52
grimshaw,20,CA,03/26/19,70,56.19,-117.61,46.0,3.36
lodja,56,CD,03/26/19,89,-3.52,23.6,74.82,2.15
troitsko-pechorsk,76,RU,03/26/19,78,62.71,56.19,32.7,10.98
saint-augustin,0,FR,03/26/19,40,44.83,-0.61,53.6,10.29
narsaq,75,GL,03/26/19,41,60.91,-46.05,23.0,4.7
lincoln,75,GB,03/26/19,65,53.23,-0.54,50.0,8.05
bocas del toro,88,PA,03/26/19,32,9.33,-82.25,66.99,11.01
nogliki,48,RU,03/26/19,87,51.8,143.14,15.96,8.75
chumikan,32,RU,03/26/19,51,54.72,135.31,7.86,6.51
daryapur,0,IN,03/26/19,50,20.92,77.32,67.62,3.15
aliwal north,24,ZA,03/26/19,93,-30.69,26.71,51.33,3.49
mahebourg,40,MU,03/26/19,83,-20.41,57.7,80.6,3.36
kudahuvadhoo,20,MV,03/26/19,98,2.67,72.89,85.26,10.98
micheweni,0,TZ,03/26/19,100,-4.97,39.83,83.64,4.94
port maria,40,JM,03/26/19,58,18.37,-76.89,84.2,9.17
lavrentiya,68,RU,03/26/19,95,65.58,-170.99,32.25,31.12
waingapu,32,ID,03/26/19,100,-9.65,120.26,71.13,2.93
coihaique,0,CL,03/26/19,45,-45.58,-72.07,69.8,2.24
vetluga,88,RU,03/26/19,93,57.85,45.78,31.44,4.5
kuytun,44,RU,03/26/19,63,54.34,101.51,10.47,2.59
korhogo,48,CI,03/26/19,74,9.46,-5.63,79.95,4.38
gat,0,SN,03/26/19,56,14.69,-16.54,71.6,16.11
codrington,90,AU,03/26/19,88,-28.95,153.24,71.6,1.12
los llanos de aridane,20,ES,03/26/19,77,28.66,-17.92,66.2,18.34
